timestamp,GHI_pred
2020-01-03 12:20:00,843.56085
2020-01-03 12:30:00,861.50085
2020-01-03 12:40:00,863.7842
2020-01-03 12:50:00,843.1228
2020-01-03 13:00:00,768.94556
2020-01-03 13:10:00,809.6087
2020-01-03 13:20:00,838.7616
2020-01-03 14:10:00,712.4683
2020-01-03 14:20:00,700.17944
2020-01-03 14:30:00,691.41974
2020-01-03 14:40:00,669.8938
2020-01-03 14:50:00,646.66064
2020-01-03 15:00:00,624.67883
2020-01-03 15:10:00,591.6269
2020-01-03 15:20:00,568.49744
2020-01-03 15:30:00,533.17444
2020-01-03 15:40:00,500.04428
2020-01-03 15:50:00,468.88016
2020-01-03 16:00:00,432.75943
2020-01-03 16:10:00,403.87106
2020-01-03 16:20:00,359.62683
2020-01-03 16:30:00,331.8103
2020-01-03 16:40:00,294.1246
2020-01-03 16:50:00,252.65666
2020-01-03 17:00:00,212.9344
2020-01-03 17:10:00,182.32176
2020-01-03 17:20:00,146.21715
2020-01-03 17:30:00,107.87922
2020-01-03 17:40:00,81.281746
2020-01-03 17:50:00,34.573917
2020-01-03 18:00:00,17.513693
2020-01-04 07:20:00,10.513593
2020-01-04 07:30:00,37.636314
2020-01-04 07:40:00,71.38654
2020-01-04 07:50:00,104.65959
2020-01-04 08:00:00,144.14276
2020-01-04 08:10:00,181.66148
2020-01-04 08:20:00,220.0197
2020-01-04 08:30:00,252.62791
2020-01-04 08:40:00,288.7546
2020-01-04 08:50:00,323.19766
2020-01-04 09:00:00,348.74173
2020-01-04 09:10:00,387.21628
2020-01-04 09:20:00,426.51456
2020-01-04 09:30:00,454.02142
2020-01-04 09:40:00,486.63403
2020-01-04 10:00:00,544.3546
2020-01-04 10:10:00,588.3417
2020-01-04 10:20:00,604.78656
2020-01-04 10:30:00,637.00073
2020-01-04 10:40:00,664.4473
2020-01-04 10:50:00,690.94507
2020-01-04 11:00:00,707.6352
2020-01-04 11:10:00,725.58905
2020-01-04 11:20:00,747.6438
2020-01-04 11:30:00,756.3697
2020-01-04 11:40:00,765.5774
2020-01-04 11:50:00,782.7856
2020-01-04 12:00:00,781.7577
2020-01-04 12:10:00,794.04407
2020-01-04 12:20:00,798.9597
2020-01-04 12:30:00,807.34326
2020-01-04 12:40:00,805.9505
2020-01-04 12:50:00,805.462
2020-01-04 13:00:00,808.02856
2020-01-04 13:10:00,805.462
2020-01-04 13:20:00,799.3524
2020-01-04 13:30:00,784.6013
2020-01-04 13:40:00,776.48663
2020-01-04 13:50:00,770.5589
2020-01-04 14:00:00,752.25867
2020-01-04 14:10:00,735.6552
2020-01-04 14:20:00,715.22723
2020-01-04 14:30:00,691.31036
2020-01-04 14:40:00,665.4269
2020-01-04 14:50:00,649.5926
2020-01-04 15:00:00,628.94525
2020-01-04 15:10:00,593.4388
2020-01-04 15:20:00,566.4293
2020-01-04 15:30:00,533.17444
2020-01-04 15:40:00,500.3782
2020-01-04 15:50:00,468.87628
2020-01-04 16:00:00,431.19382
2020-01-04 16:10:00,403.8672
2020-01-04 16:20:00,359.62683
2020-01-04 16:30:00,331.80643
2020-01-04 16:40:00,294.1246
2020-01-04 16:50:00,249.85497
2020-01-04 17:00:00,209.05788
2020-01-04 17:10:00,172.01334
2020-01-04 17:20:00,112.20296
2020-01-04 17:30:00,48.008305
2020-01-04 17:40:00,66.66335
2020-01-04 17:50:00,40.93495
2020-01-04 18:00:00,17.513693
2020-01-05 07:20:00,11.060546
2020-01-05 07:30:00,23.80048
2020-01-05 07:40:00,51.417755
2020-01-05 07:50:00,79.50105
2020-01-05 08:00:00,110.397865
2020-01-05 08:10:00,150.43317
2020-01-05 08:20:00,187.49202
2020-01-05 08:30:00,225.67569
2020-01-05 08:40:00,264.27728
2020-01-05 08:50:00,299.44373
2020-01-05 09:00:00,333.4829
2020-01-05 09:10:00,369.9423
2020-01-05 10:50:00,517.4109
2020-01-05 11:00:00,693.79346
2020-01-05 11:10:00,713.16766
2020-01-05 11:20:00,719.9315
2020-01-05 11:30:00,734.31555
2020-01-05 11:40:00,756.3697
2020-01-05 11:50:00,765.5774
2020-01-05 12:00:00,777.92334
2020-01-05 12:10:00,780.7591
2020-01-05 12:20:00,796.0057
2020-01-05 12:30:00,797.16284
2020-01-05 12:40:00,798.449
2020-01-05 12:50:00,797.96045
2020-01-05 13:00:00,806.85474
2020-01-05 13:10:00,796.4088
2020-01-05 13:20:00,791.51196
2020-01-05 13:30:00,781.93555
2020-01-05 13:40:00,767.543
2020-01-05 13:50:00,758.7992
2020-01-05 14:00:00,741.0288
2020-01-05 14:10:00,724.7036
2020-01-05 14:20:00,707.9503
2020-01-05 14:30:00,684.2324
2020-01-05 14:40:00,669.88995
2020-01-05 14:50:00,646.6568
2020-01-05 15:00:00,611.8889
2020-01-05 15:10:00,587.68976
2020-01-05 15:20:00,566.30237
2020-01-05 15:30:00,533.5738
2020-01-05 15:40:00,506.64944
2020-01-05 15:50:00,464.46088
2020-01-05 16:00:00,434.27505
2020-01-05 16:10:00,406.20844
2020-01-05 16:20:00,359.62296
2020-01-05 16:30:00,331.8103
2020-01-05 16:40:00,292.54587
2020-01-05 16:50:00,250.75479
2020-01-05 17:00:00,209.05788
2020-01-05 17:10:00,155.6861
2020-01-05 17:20:00,134.1325
2020-01-05 17:30:00,109.52238
2020-01-05 17:40:00,79.31361
2020-01-05 17:50:00,34.573917
2020-01-05 18:00:00,17.513693
2020-01-05 18:10:00,7.3308253
2020-01-06 07:20:00,9.4332695
2020-01-06 07:30:00,38.58758
2020-01-06 07:40:00,80.99134
2020-01-06 07:50:00,110.54628
2020-01-06 08:00:00,150.58159
2020-01-06 08:10:00,182.27043
2020-01-06 08:20:00,220.0197
2020-01-06 08:30:00,256.87595
2020-01-06 08:40:00,312.22617
2020-01-06 08:50:00,373.90228
2020-01-06 09:00:00,434.39252
2020-01-06 09:10:00,462.49896
2020-01-06 09:20:00,478.64453
2020-01-06 09:30:00,489.32385
2020-01-06 09:40:00,501.5695
2020-01-06 09:50:00,537.1468
2020-01-06 10:00:00,562.1641
2020-01-06 10:10:00,592.04803
2020-01-06 10:20:00,603.8059
